teacher,projection_family,shape,basis_count,rank,status,original_params,compressed_params,compression_ratio,weight_relative_error,median_layer_error,p95_layer_error,max_layer_error,fit_seconds,artifact
Lightricks/LTX-2.5,attn.q,"[4096, 4096]",4,4,ok,805306368,68681920,11.725158061976137,0.9193471074104309,0.9773344397544861,0.982244610786438,0.9838701486587524,0.39778039998782333,reports\basis_fits\attn-q_4096x4096_k4_r4.safetensors
Lightricks/LTX-2.5,attn.q,"[4096, 4096]",4,8,ok,805306368,70254784,11.462655240673717,0.906387209892273,0.9635041952133179,0.9723766446113586,0.976099967956543,0.4170167999982368,reports\basis_fits\attn-q_4096x4096_k4_r8.safetensors
Lightricks/LTX-2.5,attn.q,"[4096, 4096]",4,16,ok,805306368,73400512,10.97139987252405,0.8860135078430176,0.9386327862739563,0.9580156803131104,0.962856650352478,0.4625489000027301,reports\basis_fits\attn-q_4096x4096_k4_r16.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",2,0,ok,805306368,33554528,23.99993133564567,0.9727750420570374,0.9999969005584717,0.9999998807907104,1.0,0.10628829999768641,reports\basis_fits\attn-v_4096x4096_k2_r0.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",2,4,ok,805306368,35127392,22.925310481347434,0.9620569348335266,0.9902282357215881,0.994084894657135,0.9945554733276367,0.4222074999997858,reports\basis_fits\attn-v_4096x4096_k2_r4.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",2,8,ok,805306368,36700256,21.9427997450481,0.953637421131134,0.9832741022109985,0.9887872934341431,0.9903530478477478,0.3962762000010116,reports\basis_fits\attn-v_4096x4096_k2_r8.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",2,16,ok,805306368,39845984,20.210477623039754,0.9397135972976685,0.9710399508476257,0.9788580536842346,0.9833416938781738,0.40588459999707993,reports\basis_fits\attn-v_4096x4096_k2_r16.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",4,0,ok,805306368,67109056,11.999965667822835,0.9456866979598999,0.9999931454658508,0.9999996423721313,0.9999998211860657,0.11892899998929352,reports\basis_fits\attn-v_4096x4096_k4_r0.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",4,4,ok,805306368,68681920,11.725158061976137,0.9351250529289246,0.9897668361663818,0.994082510471344,0.9945520758628845,0.405484200004139,reports\basis_fits\attn-v_4096x4096_k4_r4.safetensors
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",4,8,ok,805306368,70254784,11.462655240673717,0.926791787147522,0.9818016290664673,0.9887863993644714,0.9903455972671509,0.4305762000003597,reports\basis_fits\attn-v_4096x4096_k4_r8.safetensors
